best_validation_epoch,best_validation_metric,epochs_after_best,epochs_without_improvement,last_epoch,outer_fold,protocol,selection_metric,stop_reason,task
41,0.6480011757789536,30,30,71,0,sample_random,macro_f1,early_stopping_converged,dsr
105,0.657103718645448,30,30,135,1,sample_random,macro_f1,early_stopping_converged,dsr
30,0.6601264297085647,30,30,60,2,sample_random,macro_f1,early_stopping_converged,dsr
65,0.6826055005863472,30,30,95,3,sample_random,macro_f1,early_stopping_converged,dsr
68,0.6807848944835246,30,30,98,4,sample_random,macro_f1,early_stopping_converged,dsr
42,0.6853448275862069,30,30,72,0,sample_random,macro_f1,early_stopping_converged,mental_arithmetic
85,0.7262816612243191,30,30,115,1,sample_random,macro_f1,early_stopping_converged,mental_arithmetic
29,0.7126560411981357,30,30,59,2,sample_random,macro_f1,early_stopping_converged,mental_arithmetic
63,0.7690865878785342,30,30,93,3,sample_random,macro_f1,early_stopping_converged,mental_arithmetic
43,0.696107986083693,30,30,73,4,sample_random,macro_f1,early_stopping_converged,mental_arithmetic
20,0.6163507989594946,30,30,50,0,sample_random,macro_f1,early_stopping_converged,motor_imagery
23,0.5840343355613669,30,30,53,1,sample_random,macro_f1,early_stopping_converged,motor_imagery
19,0.5897742954040464,30,30,49,2,sample_random,macro_f1,early_stopping_converged,motor_imagery
18,0.5709722611375736,30,30,48,3,sample_random,macro_f1,early_stopping_converged,motor_imagery
2,0.5824521934758156,38,38,40,4,sample_random,macro_f1,early_stopping_converged,motor_imagery
16,0.38515403524632247,30,30,46,0,sample_random,macro_f1,early_stopping_converged,nback
9,0.4095024317246539,31,31,40,1,sample_random,macro_f1,early_stopping_converged,nback
20,0.3705886337465285,30,30,50,2,sample_random,macro_f1,early_stopping_converged,nback
2,0.39367651409215604,38,38,40,3,sample_random,macro_f1,early_stopping_converged,nback
53,0.40733067562335856,30,30,83,4,sample_random,macro_f1,early_stopping_converged,nback
9,0.954929976040678,31,31,40,0,sample_random,masked_rmse_scaled,early_stopping_converged,refed_regression
16,0.9936662975958132,30,30,46,1,sample_random,masked_rmse_scaled,early_stopping_converged,refed_regression
23,0.9678985572126169,30,30,53,2,sample_random,masked_rmse_scaled,early_stopping_converged,refed_regression
24,0.9480592574747037,30,30,54,3,sample_random,masked_rmse_scaled,early_stopping_converged,refed_regression
12,1.0006607064323498,30,30,42,4,sample_random,masked_rmse_scaled,early_stopping_converged,refed_regression
52,0.3022790295591089,30,30,82,0,sample_random,macro_f1,early_stopping_converged,visual
21,0.2920382587648139,30,30,51,1,sample_random,macro_f1,early_stopping_converged,visual
11,0.26819589583176207,30,30,41,2,sample_random,macro_f1,early_stopping_converged,visual
23,0.2736702821995638,30,30,53,3,sample_random,macro_f1,early_stopping_converged,visual
36,0.27667691207594514,30,30,66,4,sample_random,macro_f1,early_stopping_converged,visual
22,0.655674984227312,30,30,52,0,sample_random,macro_f1,early_stopping_converged,wg
22,0.6610400642599987,30,30,52,1,sample_random,macro_f1,early_stopping_converged,wg
36,0.6846861963420914,30,30,66,2,sample_random,macro_f1,early_stopping_converged,wg
41,0.6873843877173511,30,30,71,3,sample_random,macro_f1,early_stopping_converged,wg
24,0.6808035714285714,30,30,54,4,sample_random,macro_f1,early_stopping_converged,wg
23,0.6479928865604657,30,30,53,0,strict_cross_subject,macro_f1,early_stopping_converged,dsr
45,0.6671543347512648,30,30,75,1,strict_cross_subject,macro_f1,early_stopping_converged,dsr
32,0.64295887623452,30,30,62,2,strict_cross_subject,macro_f1,early_stopping_converged,dsr
34,0.6511332461432084,30,30,64,3,strict_cross_subject,macro_f1,early_stopping_converged,dsr
32,0.6569369369369369,30,30,62,4,strict_cross_subject,macro_f1,early_stopping_converged,dsr
17,0.6742200328407225,30,30,47,0,strict_cross_subject,macro_f1,early_stopping_converged,mental_arithmetic
4,0.6288509322166427,36,36,40,1,strict_cross_subject,macro_f1,early_stopping_converged,mental_arithmetic
4,0.6665219279201042,36,36,40,2,strict_cross_subject,macro_f1,early_stopping_converged,mental_arithmetic
15,0.6767676767676768,30,30,45,3,strict_cross_subject,macro_f1,early_stopping_converged,mental_arithmetic
26,0.674315837088328,30,30,56,4,strict_cross_subject,macro_f1,early_stopping_converged,mental_arithmetic
39,0.5450434782608695,30,30,69,0,strict_cross_subject,macro_f1,early_stopping_converged,motor_imagery
17,0.5742608695652174,30,30,47,1,strict_cross_subject,macro_f1,early_stopping_converged,motor_imagery
25,0.5853716766142159,30,30,55,2,strict_cross_subject,macro_f1,early_stopping_converged,motor_imagery
25,0.5685233998758028,30,30,55,3,strict_cross_subject,macro_f1,early_stopping_converged,motor_imagery
3,0.6155386463756507,37,37,40,4,strict_cross_subject,macro_f1,early_stopping_converged,motor_imagery
11,0.40302662598220645,30,30,41,0,strict_cross_subject,macro_f1,early_stopping_converged,nback
