original_path	archive_path	bytes	file_count
experiments/runs/coupling_design_audit	experiments/archive/pre_physiology_semantic_20260701/runs/coupling_design_audit	224691841149	4260
experiments/runs/debug	experiments/archive/pre_physiology_semantic_20260701/runs/debug	4096	0
experiments/runs/downstream	experiments/archive/pre_physiology_semantic_20260701/runs/downstream	663837476	323
experiments/runs/source_observation	experiments/archive/pre_physiology_semantic_20260701/runs/source_observation	36214430256	990
experiments/runs/tokenizer_causal_shared_private	experiments/archive/pre_physiology_semantic_20260701/runs/tokenizer_causal_shared_private	16678811790	501
experiments/runs/tokenizer_context_coupling	experiments/archive/pre_physiology_semantic_20260701/runs/tokenizer_context_coupling	32303468609	1253
experiments/runs/tokenizer_coupling_capacity	experiments/archive/pre_physiology_semantic_20260701/runs/tokenizer_coupling_capacity	138259616943	2563
experiments/runs/tokenizer_coupling_discovery	experiments/archive/pre_physiology_semantic_20260701/runs/tokenizer_coupling_discovery	22224377498	1178
experiments/runs/tokenizer_coupling_stress	experiments/archive/pre_physiology_semantic_20260701/runs/tokenizer_coupling_stress	14520989070	594
experiments/runs/tokenizer_cross_modal_exchange	experiments/archive/pre_physiology_semantic_20260701/runs/tokenizer_cross_modal_exchange	44360214399	1066
experiments/runs/tokenizer_full_cross_modal_alignment	experiments/archive/pre_physiology_semantic_20260701/runs/tokenizer_full_cross_modal_alignment	21969371473	740
experiments/runs/tokenizer_lightweight_alignment	experiments/archive/pre_physiology_semantic_20260701/runs/tokenizer_lightweight_alignment	66819831481	1459
experiments/runs/tokenizer_next_stage	experiments/archive/pre_physiology_semantic_20260701/runs/tokenizer_next_stage	149037269332	2677
experiments/runs/tokenizer_stage_meta_analysis	experiments/archive/pre_physiology_semantic_20260701/runs/tokenizer_stage_meta_analysis	362429	10
experiments/comparison_reports/20260604_215303_highwl_training_curve_review_20260604	experiments/archive/pre_physiology_semantic_20260701/comparison_reports/20260604_215303_highwl_training_curve_review_20260604	868350	10
experiments/comparison_reports/20260605_153115_highwl_full_experiment_review_20260605	experiments/archive/pre_physiology_semantic_20260701/comparison_reports/20260605_153115_highwl_full_experiment_review_20260605	1079763	10
