channel_name,x_mm,y_mm,z_mm,coordinate_status,source_labels
FP1,-29.4367,83.9171,-6.9900,template_exact,Fp1
FPZ,0.1123,88.2470,-1.7130,template_exact,Fpz
FP2,29.8723,84.8959,-7.0800,template_exact,Fp2
AF3,-33.7007,76.8371,21.2270,template_exact,AF3
AF4,35.7123,77.7259,21.9560,template_exact,AF4
F7,-70.2629,42.4743,-11.4200,template_exact,F7
F5,-64.4658,48.0353,16.9210,template_exact,F5
F3,-50.2438,53.1112,42.1920,template_exact,F3
F1,-27.4958,56.9311,60.3420,template_exact,F1
FZ,0.3122,58.5120,66.4620,template_exact,Fz
F2,29.5142,57.6019,59.5400,template_exact,F2
F4,51.8362,54.3048,40.8140,template_exact,F4
F6,67.9142,49.8297,16.3670,template_exact,F6
F8,73.0431,44.4217,-12.0000,template_exact,F8
FT7,-80.7750,14.1203,-11.1350,template_exact,FT7
FC5,-77.2149,18.6433,24.4600,template_exact,FC5
FC3,-60.1819,22.7162,55.5440,template_exact,FC3
FC1,-34.0619,26.0111,79.9870,template_exact,FC1
FCZ,0.3761,27.3900,88.6680,template_exact,FCz
FC2,34.7841,26.4379,78.8080,template_exact,FC2
FC4,62.2931,23.7228,55.6300,template_exact,FC4
FC6,79.5341,19.9357,24.4380,template_exact,FC6
FT8,81.8151,15.4167,-11.3300,template_exact,FT8
T7,-84.1611,-16.0187,-9.3460,template_exact,T7
C5,-80.2801,-13.7597,29.1600,template_exact,C5
C3,-65.3581,-11.6317,64.3580,template_exact,C3
C1,-36.1580,-9.9839,89.7520,template_exact,C1
CZ,0.4009,-9.1670,100.2440,template_exact,Cz
C2,37.6720,-9.6241,88.4120,template_exact,C2
C4,67.1179,-10.9003,63.5800,template_exact,C4
C6,83.4559,-12.7763,29.2080,template_exact,C6
T8,85.0799,-15.0203,-9.4900,template_exact,T8
M1,-86.0761,-44.9897,-67.9860,template_exact,M1
TP7,-84.8302,-46.0217,-7.0560,template_exact,TP7
CP5,-79.5922,-46.5507,30.9490,template_exact,CP5
CP3,-63.5562,-47.0088,65.6240,template_exact,CP3
CP1,-35.5131,-47.2919,91.3150,template_exact,CP1
CPZ,0.3858,-47.3180,99.4320,template_exact,CPz
CP2,38.3838,-47.0731,90.6950,template_exact,CP2
CP4,66.6118,-46.6372,65.5800,template_exact,CP4
CP6,83.3218,-46.1013,31.2060,template_exact,CP6
TP8,85.5488,-45.5453,-7.1300,template_exact,TP8
M2,85.7939,-45.0093,-68.0310,template_exact,M2
P7,-72.4343,-73.4527,-2.4870,template_exact,P7
P5,-67.2723,-76.2907,28.3820,template_exact,P5
P3,-53.0073,-78.7878,55.9400,template_exact,P3
P1,-28.6203,-80.5249,75.4360,template_exact,P1
PZ,0.3247,-81.1150,82.6150,template_exact,Pz
P2,31.9197,-80.4871,76.7160,template_exact,P2
P4,55.6667,-78.5602,56.5610,template_exact,P4
P6,67.8877,-75.9043,28.0910,template_exact,P6
P8,73.0557,-73.0683,-2.5400,template_exact,P8
PO7,-54.8404,-97.5279,2.7920,template_exact,PO7
PO5,-48.4244,-99.3408,21.5990,template_exact,PO5
PO3,-36.5114,-100.8529,37.1670,template_exact,PO3
POZ,0.2156,-102.1780,50.6080,template_exact,POz
PO4,36.7816,-100.8491,36.3970,template_exact,PO4
PO6,49.8196,-99.4461,21.7270,template_exact,PO6
PO8,55.6666,-97.6251,2.7300,template_exact,PO8
CB1,-42.1269,-104.9885,5.8155,template_interpolated_from_refed_figure1,PO7|O1
O1,-29.4134,-112.4490,8.8390,template_exact,O1
OZ,0.1076,-114.8920,14.6570,template_exact,Oz
O2,29.8426,-112.1560,8.8000,template_exact,O2
CB2,42.7546,-104.8906,5.7650,template_interpolated_from_refed_figure1,PO8|O2
