channel_name,optode_a,optode_b,grid_x,grid_y
CH1,G00,G01,0.5,0.0
CH2,G01,G02,1.5,0.0
CH3,G02,G03,2.5,0.0
CH4,G00,G10,0.0,0.5
CH5,G01,G11,1.0,0.5
CH6,G02,G12,2.0,0.5
CH7,G03,G13,3.0,0.5
CH8,G10,G11,0.5,1.0
CH9,G11,G12,1.5,1.0
CH10,G12,G13,2.5,1.0
CH11,G10,G20,0.0,1.5
CH12,G11,G21,1.0,1.5
CH13,G12,G22,2.0,1.5
CH14,G13,G23,3.0,1.5
CH15,G20,G21,0.5,2.0
CH16,G21,G22,1.5,2.0
CH17,G22,G23,2.5,2.0
CH18,G20,G30,0.0,2.5
CH19,G21,G31,1.0,2.5
CH20,G22,G32,2.0,2.5
CH21,G23,G33,3.0,2.5
CH22,G30,G31,0.5,3.0
CH23,G31,G32,1.5,3.0
CH24,G32,G33,2.5,3.0
